Livestock,Area,Year,Value,Flags
"Total horses","Gisborne","As at June 30 2007",1798,
"Total horses","Gisborne","As at June 30 2008",1720,
"Total horses","Gisborne","As at June 30 2010",1644,
"Total horses","Gisborne","As at June 30 2011",1168,
"Total horses","Gisborne","As at June 30 2012",1193,
"Total horses","Gisborne","As at June 30 2013",1424,
"Total horses","Gisborne","As at June 30 2014",1033,
"Total horses","Gisborne","As at June 30 2015",774,
"Total horses","Gisborne","As at June 30 2016",758,
"Total horses","Gisborne","As at June 30 2017",885,
"Total beef cattle","Hawkes Bay","As at June 30 1994",522767,
"Total beef cattle","Hawkes Bay","As at June 30 2002",555989,
"Total beef cattle","Hawkes Bay","As at June 30 2003",574403,
"Total beef cattle","Hawkes Bay","As at June 30 2004",612870,
"Total beef cattle","Hawkes Bay","As at June 30 2005",528513,
"Total beef cattle","Hawkes Bay","As at June 30 2006",528809,
"Total beef cattle","Hawkes Bay","As at June 30 2007",438366,
"Total beef cattle","Hawkes Bay","As at June 30 2008",493393,
"Total beef cattle","Hawkes Bay","As at June 30 2009",436207,
"Total beef cattle","Hawkes Bay","As at June 30 2010",454204,
"Total beef cattle","Hawkes Bay","As at June 30 2011",488087,
"Total beef cattle","Hawkes Bay","As at June 30 2012",471010,
"Total beef cattle","Hawkes Bay","As at June 30 2013",433768,
"Total beef cattle","Hawkes Bay","As at June 30 2014",441575,
"Total beef cattle","Hawkes Bay","As at June 30 2015",441919,
"Total beef cattle","Hawkes Bay","As at June 30 2016",434837,
"Total beef cattle","Hawkes Bay","As at June 30 2017",421163,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 1994",140331,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2002",121920,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2003",125525,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2004",136018,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2005",126256,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2006",114883,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2007",117846,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2008",107582,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2009",93739,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2010",86394,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2011",92958,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2012",94477,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2013",91650,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2014",70746,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2015",88058,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2016",88553,
"Calves born alive to beef heifers/cows","Hawkes Bay","As at June 30 2017",91470,
"Total dairy cattle","Hawkes Bay","As at June 30 1994",31707,
"Total dairy cattle","Hawkes Bay","As at June 30 2002",88982,
"Total dairy cattle","Hawkes Bay","As at June 30 2003",92852,
"Total dairy cattle","Hawkes Bay","As at June 30 2004",91786,
"Total dairy cattle","Hawkes Bay","As at June 30 2005",82772,
"Total dairy cattle","Hawkes Bay","As at June 30 2006",79419,
"Total dairy cattle","Hawkes Bay","As at June 30 2007",80200,
"Total dairy cattle","Hawkes Bay","As at June 30 2008",99931,
"Total dairy cattle","Hawkes Bay","As at June 30 2009",93871,
"Total dairy cattle","Hawkes Bay","As at June 30 2010",113465,
"Total dairy cattle","Hawkes Bay","As at June 30 2011",90655,
"Total dairy cattle","Hawkes Bay","As at June 30 2012",93047,
"Total dairy cattle","Hawkes Bay","As at June 30 2013",95098,
"Total dairy cattle","Hawkes Bay","As at June 30 2014",98100,
"Total dairy cattle","Hawkes Bay","As at June 30 2015",81738,
"Total dairy cattle","Hawkes Bay","As at June 30 2016",90854,
"Total dairy cattle","Hawkes Bay","As at June 30 2017",87675,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 1994",18540,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2002",47308,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2003",38635,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2004",37497,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2005",37444,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2006",37095,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2007",48849,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2008",44220,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2009",51136,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2010",47404,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2011",44612,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2012",34411,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2013",27450,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2014",25037,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2015",33529,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2016",40064,
"Calves born alive to dairy heifers/cows","Hawkes Bay","As at June 30 2017",44734,
"Total sheep","Hawkes Bay","As at June 30 1994",4264012,
"Total sheep","Hawkes Bay","As at June 30 2002",3788684,
"Total sheep","Hawkes Bay","As at June 30 2003",3922729,
"Total sheep","Hawkes Bay","As at June 30 2004",4305819,
"Total sheep","Hawkes Bay","As at June 30 2005",4070230,
"Total sheep","Hawkes Bay","As at June 30 2006",4226620,
"Total sheep","Hawkes Bay","As at June 30 2007",3624018,
"Total sheep","Hawkes Bay","As at June 30 2008",3690843,
"Total sheep","Hawkes Bay","As at June 30 2009",3445616,
"Total sheep","Hawkes Bay","As at June 30 2010",3429382,
"Total sheep","Hawkes Bay","As at June 30 2011",3266872,
"Total sheep","Hawkes Bay","As at June 30 2012",3262468,
"Total sheep","Hawkes Bay","As at June 30 2013",2996560,
"Total sheep","Hawkes Bay","As at June 30 2014",2872852,
"Total sheep","Hawkes Bay","As at June 30 2015",3028852,
"Total sheep","Hawkes Bay","As at June 30 2016",2872524,
"Total sheep","Hawkes Bay","As at June 30 2017",2794237,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 1994",3014273,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2002",2908825,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2003",3020147,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2004",3080384,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2005",3185977,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2006",3190657,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2007",3213097,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2008",2691180,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2009",2880075,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2010",2636466,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2011",2335418,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2012",2414413,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2013",2401288,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2014",2117644,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2015",2426843,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2016",2339536,
"Total lambs marked and/or tailed","Hawkes Bay","As at June 30 2017",2103190,
"Total deer","Hawkes Bay","As at June 30 1994",118301,
"Total deer","Hawkes Bay","As at June 30 2002",126718,
"Total deer","Hawkes Bay","As at June 30 2003",139685,
"Total deer","Hawkes Bay","As at June 30 2004",147378,
"Total deer","Hawkes Bay","As at June 30 2005",120027,
"Total deer","Hawkes Bay","As at June 30 2006",106761,
"Total deer","Hawkes Bay","As at June 30 2007",88408,
"Total deer","Hawkes Bay","As at June 30 2008",84426,
"Total deer","Hawkes Bay","As at June 30 2009",73887,
"Total deer","Hawkes Bay","As at June 30 2010",66573,
"Total deer","Hawkes Bay","As at June 30 2011",63512,
"Total deer","Hawkes Bay","As at June 30 2012",69977,
"Total deer","Hawkes Bay","As at June 30 2013",69350,
"Total deer","Hawkes Bay","As at June 30 2014",53022,
"Total deer","Hawkes Bay","As at June 30 2015",69399,
"Total deer","Hawkes Bay","As at June 30 2016",63862,
"Total deer","Hawkes Bay","As at June 30 2017",51713,
"Fawns weaned","Hawkes Bay","As at June 30 1994",31824,
"Fawns weaned","Hawkes Bay","As at June 30 2002",46455,
"Fawns weaned","Hawkes Bay","As at June 30 2003",47912,
"Fawns weaned","Hawkes Bay","As at June 30 2004",51211,
"Fawns weaned","Hawkes Bay","As at June 30 2005",40620,
"Fawns weaned","Hawkes Bay","As at June 30 2006",30746,
"Fawns weaned","Hawkes Bay","As at June 30 2007",28627,
"Fawns weaned","Hawkes Bay","As at June 30 2008",25455,
"Fawns weaned","Hawkes Bay","As at June 30 2009",26258,
"Fawns weaned","Hawkes Bay","As at June 30 2010",18498,
"Fawns weaned","Hawkes Bay","As at June 30 2011",19609,
"Fawns weaned","Hawkes Bay","As at June 30 2012",22362,
"Fawns weaned","Hawkes Bay","As at June 30 2013",22946,
"Fawns weaned","Hawkes Bay","As at June 30 2014",19771,
"Fawns weaned","Hawkes Bay","As at June 30 2015",26751,
"Fawns weaned","Hawkes Bay","As at June 30 2016",19562,
"Fawns weaned","Hawkes Bay","As at June 30 2017",15486,
"Total pigs","Hawkes Bay","As at June 30 1994",8903,
"Total pigs","Hawkes Bay","As at June 30 2002",7996,
"Total pigs","Hawkes Bay","As at June 30 2003",6414,
"Total pigs","Hawkes Bay","As at June 30 2004",6134,
"Total pigs","Hawkes Bay","As at June 30 2005",4754,
"Total pigs","Hawkes Bay","As at June 30 2006",7931,
"Total pigs","Hawkes Bay","As at June 30 2007",7889,
"Total pigs","Hawkes Bay","As at June 30 2008",6435,
"Total pigs","Hawkes Bay","As at June 30 2009",8731,
"Total pigs","Hawkes Bay","As at June 30 2010",6723,
"Total pigs","Hawkes Bay","As at June 30 2011",7061,
"Total pigs","Hawkes Bay","As at June 30 2012",8116,
"Total pigs","Hawkes Bay","As at June 30 2013",8566,
"Total pigs","Hawkes Bay","As at June 30 2014",7051,
"Total pigs","Hawkes Bay","As at June 30 2015",,c
"Total pigs","Hawkes Bay","As at June 30 2016",,c
"Total pigs","Hawkes Bay","As at June 30 2017",1881,
"Piglets weaned","Hawkes Bay","As at June 30 2003",14013,
"Piglets weaned","Hawkes Bay","As at June 30 2004",15352,
"Piglets weaned","Hawkes Bay","As at June 30 2005",8865,
"Piglets weaned","Hawkes Bay","As at June 30 2006",17358,
"Piglets weaned","Hawkes Bay","As at June 30 2007",16967,
"Piglets weaned","Hawkes Bay","As at June 30 2008",14842,
"Piglets weaned","Hawkes Bay","As at June 30 2012",14683,
"Piglets weaned","Hawkes Bay","As at June 30 2013",,c
"Piglets weaned","Hawkes Bay","As at June 30 2014",16170,
"Piglets weaned","Hawkes Bay","As at June 30 2015",4157,
"Piglets weaned","Hawkes Bay","As at June 30 2016",,c
"Piglets weaned","Hawkes Bay","As at June 30 2017",2297,
"Total horses","Hawkes Bay","As at June 30 1994",4913,
"Total horses","Hawkes Bay","As at June 30 2002",4598,
"Total horses","Hawkes Bay","As at June 30 2003",4761,
"Total horses","Hawkes Bay","As at June 30 2004",4797,
"Total horses","Hawkes Bay","As at June 30 2007",2960,
"Total horses","Hawkes Bay","As at June 30 2008",3351,
"Total horses","Hawkes Bay","As at June 30 2010",2693,
"Total horses","Hawkes Bay","As at June 30 2011",2935,
"Total horses","Hawkes Bay","As at June 30 2012",2818,
"Total horses","Hawkes Bay","As at June 30 2013",2516,
"Total horses","Hawkes Bay","As at June 30 2014",1572,
"Total horses","Hawkes Bay","As at June 30 2015",1720,
"Total horses","Hawkes Bay","As at June 30 2016",1893,
"Total horses","Hawkes Bay","As at June 30 2017",1908,
"Total beef cattle","Taranaki","As at June 30 1994",172784,
"Total beef cattle","Taranaki","As at June 30 2002",127218,
"Total beef cattle","Taranaki","As at June 30 2003",121184,
"Total beef cattle","Taranaki","As at June 30 2004",122957,
"Total beef cattle","Taranaki","As at June 30 2005",130935,
"Total beef cattle","Taranaki","As at June 30 2006",129368,
"Total beef cattle","Taranaki","As at June 30 2007",136715,
"Total beef cattle","Taranaki","As at June 30 2008",132092,
"Total beef cattle","Taranaki","As at June 30 2009",126336,
"Total beef cattle","Taranaki","As at June 30 2010",133687,
"Total beef cattle","Taranaki","As at June 30 2011",118632,
"Total beef cattle","Taranaki","As at June 30 2012",103546,
"Total beef cattle","Taranaki","As at June 30 2013",118526,
"Total beef cattle","Taranaki","As at June 30 2014",129775,
"Total beef cattle","Taranaki","As at June 30 2015",128274,
"Total beef cattle","Taranaki","As at June 30 2016",106619,
"Total beef cattle","Taranaki","As at June 30 2017",117954,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 1994",39016,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2002",30008,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2003",26210,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2004",26156,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2005",23968,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2006",26937,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2007",26451,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2008",29382,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2009",25354,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2010",27499,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2011",22562,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2012",21157,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2013",19846,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2014",23977,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2015",20426,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2016",23293,
"Calves born alive to beef heifers/cows","Taranaki","As at June 30 2017",24495,
"Total dairy cattle","Taranaki","As at June 30 1994",599083,
"Total dairy cattle","Taranaki","As at June 30 2002",651700,
"Total dairy cattle","Taranaki","As at June 30 2003",623459,
"Total dairy cattle","Taranaki","As at June 30 2004",664922,
"Total dairy cattle","Taranaki","As at June 30 2005",615592,
"Total dairy cattle","Taranaki","As at June 30 2006",598667,
"Total dairy cattle","Taranaki","As at June 30 2007",589573,
"Total dairy cattle","Taranaki","As at June 30 2008",571505,
"Total dairy cattle","Taranaki","As at June 30 2009",607436,
"Total dairy cattle","Taranaki","As at June 30 2010",645891,
"Total dairy cattle","Taranaki","As at June 30 2011",625315,
"Total dairy cattle","Taranaki","As at June 30 2012",604383,
"Total dairy cattle","Taranaki","As at June 30 2013",595014,
"Total dairy cattle","Taranaki","As at June 30 2014",585948,
"Total dairy cattle","Taranaki","As at June 30 2015",541931,
"Total dairy cattle","Taranaki","As at June 30 2016",555532,
"Total dairy cattle","Taranaki","As at June 30 2017",590846,
"Calves born alive to dairy heifers/cows","Taranaki","As at June 30 1994",385152,
"Calves born alive to dairy heifers/cows","Taranaki","As at June 30 2002",435659,
"Calves born alive to dairy heifers/cows","Taranaki","As at June 30 2003",402546,
"Calves born alive to dairy heifers/cows","Taranaki","As at June 30 2004",437165,
"Calves born alive to dairy heifers/cows","Taranaki","As at June 30 2005",423795,
